iv_a34146ab	IV2505-024	PP044-PDH		2025-05-06	1100000	paid						2102025	บ้านด่าน ม.1 ต.กะเปอร์ อ.กะเปอร์ จ.ระนอง (6801-01)	00405	องค์การบริหารส่วนตำบลกะเปอร์	2025-05-06	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2025-06-10	10.06.2025 เงินเข้าแล้ว / คุณปาล์ม 093-6534045	AR2505-018	3	6801-01
iv_35d85fa8	IV2505-022	INS027-PD		2025-05-08	1100000	paid						1502025	บ้านสันผักแค ม.5 ต.ม่วงคำ อ.พาน จ.เชียงราย (6801-01)	00848	องค์การบริหารส่วนตำบลม่วงคำ	2025-05-08	LIT	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-06-19	19.06.2025 เงินเข้าแล้ว / คุณเชอร์รี่ 085-7198563	AR2505-019	3	6801-01
iv_030112d6	IV2505-021	INS026-PD		2025-05-08	1100000	paid						1402025	บ้านม่วงคำ ม.1 ต.ม่วงคำ อ.พาน จ.เชียงราย (6801-01)	00848	องค์การบริหารส่วนตำบลม่วงคำ	2025-05-08	LIT	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-06-19	19.06.2025 เงินเข้าแล้ว / คุณเชอร์รี่ 085-7198563	AR2505-020	3	6801-01
iv_16a9d679	IV2505-020	INS028-PD		2025-05-08	1100000	paid						1602025	บ้านสันน้ำบ่อ ม.6 ต.ม่วงคำ อ.พาน จ.เชียงราย (6801-01)	00848	องค์การบริหารส่วนตำบลม่วงคำ	2025-05-08	LIT	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-06-19	19.06.2025 เงินเข้าแล้ว / คุณเชอร์รี่ 085-7198563	AR2505-021	3	6801-01
iv_0c5180df	IV2505-012	ENC088-PL		2025-05-07	2160000	paid						33302024	บ้านสายทอง ม.12 ต.หลุ่งตะเคียน อ.ห้วยแถลง จ.นครราชสีมา (6801-01)	00839	องค์การบริหารส่วนตำบลหลุ่งตะเคียน	2025-05-07	STS	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-07-31	31.07.2025 เงินเข้าแล้ว / คุณชุติมา 095-6211190	AR2505-008	1	6801-01
iv_1d34c2db	IV2505-009	PP027-PL		2025-05-07	3240000	paid						9202024	บ้านราษฎร์นิคม ม.1 ต.สามขา อ.กุฉินารายณ์ จ.กาฬสินธุ์ (6701-01)	00206	องค์การบริหารส่วนตำบลสามขา	2025-05-07	KTB	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2025-07-23	23.07.2025 เงินเข้าแล้ว / คุณอ้อน 093-3814379	AR2505-009	2	6701-01
iv_5bd0acbe	IV2505-008	AW125-PL		2025-05-02	3240000	paid						24602024	บ้านหนองน้ำใส ม.7 ต.ทุ่งหลวง อ.ปากท่อ จ.ราชบุรี (6801-01)	00709	เทศบาลตำบลทุ่งหลวง	2025-05-02	KTB	STR	5.โครงการที่รับเงินแล้วสะสม	2025-05-16	16.05.2025 เงินเข้าแล้ว	AR2505-007	2	6801-01
iv_d30002b9	IV2505-007			2025-05-06	6490000	paid						847			เทศบาลตำบลนาสีทอง	2025-05-06	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2025-06-04	04.06.2025 เงินเข้าแล้ว / คุณทราย	AR2505-005	3	
iv_4f1efb7a	IV2505-005	INS012-PL		2025-05-06	5398000	paid						21602024	บ้านผามูบ ม.7 ต.แม่พูล อ.ลับแล จ.อุตรดิตถ์ (6701-01)	00808	องค์การบริหารส่วนตำบลแม่พูล	2025-05-06	STS	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-06-06	06.06.2025 เงินเข้าแล้ว / คุณตอง 065-9623696	AR2505-006	3	6701-01
iv_97d45ca8	IV2505-003	ENC095-PL		2025-05-02	2160000	paid						402025	บ้านโนน ม.1 ต.โนน อ.โนนนารายณ์ จ.สุรินทร์ (6801-01)	00844	องค์การบริหารส่วนตำบลโนน	2025-05-02	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-07-14	14.07.2025 เงินเข้าแล้ว / พัสดุ 080-0045313	AR2505-003	1	6801-01
iv_511436f1	IV2504-091	AW124-PL		2025-04-28	1612500	paid						24102024	บ้านปงคอบ ม.9 ต.วิเชตนคร อ.แจ้ห่ม จ.ลำปาง (6801-01)	00824	องค์การบริหารส่วนตำบลวิเชตนคร	2025-04-28	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-06-19	19.06.2025 เงินเข้าแล้ว / คุณอนัญญา 083-5946466	AR2504-094	1	6801-01
iv_f4e0e399	IV2504-090	ENC053-PL		2025-04-10	2122796.82	paid						27702024	บ้านโพธิ์ณรงค์ ม.8 ต.แหลมทอง อ.หนองบุญมาก จ.นครราชสีมา (6801-01)	00826	เทศบาลตำบลแหลมทอง	2025-04-10	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-06-13	13.06.2025 เงินเข้าแล้ว / คุณแหม่ม 081-2824814	AR2504-095	1	6801-01
iv_a097a085	IV2504-088	ENC062-PL		2025-04-30	2160000	paid						30102024	บ้านโพนทอง ม.9 ต.ทรายขาว อ.วังสะพุง จ.เลย (6801-01)	00834	องค์การบริหารส่วนตำบลทรายขาว	2025-04-30	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-06-26	26.06.2025 เงินเข้าแล้ว / คุณนรพนธ์ 063-7166635	AR2504-087	1	6801-01
iv_621b8687	IV2504-087	AW121-PL		2025-04-29	3240000	paid						24002024	บ้านข่า ม.2 ต.บ้านข่า อ.ศรีสงคราม จ.นครพนม (6801-01)	00056	เทศบาลตำบลบ้านข่า	2025-04-29	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-05-23	23.05.2025 เงินเข้าแล้ว / คุณชลทิชา 0908540974	AR2504-088	2	6801-01
iv_870ea1e0	IV2504-069	PP038-PDH		2025-04-23	1100000	paid						202025	บ้านดอนรัก ม.2 ต.ทุ่งกง อ.กาญจนดิษฐ์ จ.สุราษฎร์ธานี (6801-01)	00846	องค์การบริหารส่วนตำบลทุ่งกง	2025-04-23	LIT	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2025-05-29	29.05.2025 เงินเข้าแล้ว / คุณบี 098-6702730	AR2504-053	3	6801-01
iv_181c2d28	IV2504-068	AW110-PL		2025-04-23	3240000	paid						20402024	บ้านบางหลุด ม.13 ต.คลองชะอุ่น อ.พนม จ.สุราษฎร์ธานี (6707-03)	00749	เทศบาลตำบลคลองชะอุ่น	2025-04-23	STS	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2025-05-27	27.05.2025 เงินเข้าแล้ว / คุณสุรีรัตน์ 086-2828128	AR2504-054	2	6707-03
iv_b6011965	IV2504-067	AW095-PLS		2025-04-23	5400000	paid						17502024	บ้านราษฎร์สำราญ ม.8 ต.โคกสมบูรณ์ อ.กมลาไสย จ.กาฬสินธุ์ (6707-03)	00613	องค์การบริหารส่วนตำบลโคกสมบูรณ์	2025-04-23	STS	WTP	5.โครงการที่รับเงินแล้วสะสม	2025-06-27	27.06.2025 เงินเข้าแล้ว / คุณพรพรรณ 089-2338340	AR2504-055	3	6707-03
iv_621450d1	IV2504-066	AW096-PLS		2025-04-23	5400000	paid						17602024	บ้านนามล ม.2 ต.โคกสมบูรณ์ อ.กมลาไสย จ.กาฬสินธุ์ (6707-03)	00613	องค์การบริหารส่วนตำบลโคกสมบูรณ์	2025-04-23	STS	WTP	5.โครงการที่รับเงินแล้วสะสม	2025-06-27	27.06.2025 เงินเข้าแล้ว / คุณพรพรรณ 089-2338340	AR2504-056	3	6707-03
iv_e97c19c8	IV2504-065	INS020-PL		2025-04-21	2142196.24	paid						23702024	บ้านต่อแพ ม.1 ต.แม่เงา อ.ขุนยวม จ.แม่ฮ่องสอน (6801-01)	00815	องค์การบริหารส่วนตำบลแม่เงา	2025-04-21	KTB	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-06-27	27.06.2025 รับเช็คแล้ว รอเงินเข้า / คุณนุ่น 080-0066214 (เช็คกรุงไทย) / พุธ	AR2504-057	1	6801-01
iv_8e5df695	IV2504-064	ENC091-PD		2025-04-21	1100000	paid						33702024	บ้านสันปูเลย ม.2 ต.ศรีเตี้ย อ.บ้านโฮ่ง จ.ลำพูน (6801-01)	00841	เทศบาลตำบลศรีเตี้ย	2025-04-21	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-05-07	07.05.2025 เงินเข้าแล้ว	AR2504-058	3	6801-01
iv_c95a803b	IV2504-063	ENC093-PD		2025-04-21	1100000	paid						33502024	บ้านศรีลาภรณ์ ม.7 ต.ศรีเตี้ย อ.บ้านโฮ่ง จ.ลำพูน (6801-01)	00841	เทศบาลตำบลศรีเตี้ย	2025-04-21	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-05-07	07.05.2025 เงินเข้าแล้ว	AR2504-059	3	6801-01
iv_19fa1898	IV2504-062	ENC092-PD		2025-04-21	1100000	paid						33602024	บ้านหนองสะลิง ม.4 ต.ศรีเตี้ย อ.บ้านโฮ่ง จ.ลำพูน (6801-01)	00841	เทศบาลตำบลศรีเตี้ย	2025-04-21	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-05-07	07.05.2025 เงินเข้าแล้ว	AR2504-060	3	6801-01
iv_680b25d3	IV2504-061	ENC094-PD		2025-04-21	1100000	paid						33402024	บ้านดงมะปินหวาน ม.8 ต.ศรีเตี้ย อ.บ้านโฮ่ง จ.ลำพูน (6801-01)	00841	เทศบาลตำบลศรีเตี้ย	2025-04-21	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-05-07	07.05.2025 เงินเข้าแล้ว	AR2504-061	3	6801-01
iv_87ed4d71	IV2504-060	ENC090-PD		2025-04-21	1100000	paid						33902024	บ้านหล่ายแก้ว ม.1 ต.ศรีเตี้ย อ.บ้านโฮ่ง จ.ลำพูน (6801-01)	00841	เทศบาลตำบลศรีเตี้ย	2025-04-21	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-05-07	07.05.2025 เงินเข้าแล้ว	AR2504-062	3	6801-01
iv_7fb59147	IV2504-059	AW129-PL		2025-04-11	3234192.52	paid						25302024	บ้านโป่งสะท้อน ม.6 ต.ชำฆ้อ อ.เขาชะเมา จ.ระยอง (6801-01)	00391	เทศบาลตำบลชำฆ้อ	2025-04-11	STS	ภาคตะวันออก	5.โครงการที่รับเงินแล้วสะสม	2025-05-08	08.05.2025 เงินเข้าแล้ว / รุ่งฟ้า 080-5663725	AR2504-063	2	6801-01
iv_fb4259c3	IV2504-058	AW128-PL		2025-04-11	3234192.51	paid						25402024	บ้านศรีประชา ม.1 ต.ชำฆ้อ อ.เขาชะเมา จ.ระยอง (6801-01)	00391	เทศบาลตำบลชำฆ้อ	2025-04-11	STS	ภาคตะวันออก	5.โครงการที่รับเงินแล้วสะสม	2025-05-08	08.05.2025 เงินเข้าแล้ว / รุ่งฟ้า 080-5663725	AR2504-064	2	6801-01
iv_d0a9a463	IV2504-057	INS025-PDH		2025-04-11	1100000	paid						302025	บ้านหนองโสน ม.2 ต.เสม็ดใต้ อ.บางคล้า จ.ฉะเชิงเทรา (6801-01)	00344	องค์การบริหารส่วนตำบลเสม็ดใต้	2025-04-11	LIT	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-05-29	29.05.2025 เงินเข้าแล้ว	AR2504-065	3	6801-01
iv_d5944e2b	IV2504-056	INS024-PL		2025-04-10	1602196.24	paid						32502024	บ้านสุมข้าม ม.4 ต.นาขุม อ.บ้านโคก จ.อุตรดิตถ์ (6801-01)	00718	องค์การบริหารส่วนตำบลนาขุม	2025-04-10	WTP	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-05-27	27.05.2025 เงินเข้าแล้ว / คุณน้ำฝน 087-8518426	AR2504-067	1	6801-01
iv_90dfe4be	IV2504-055	ENC087-PD		2025-04-10	1100000	paid						33002024	บ้านทะเล ม.4 ต.เสมา อ.สูงเนิน จ.นครราชสีมา (6801-01)	00648	องค์การบริหารส่วนตำบลเสมา	2025-04-10	WTP	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-05-29	29.05.2025 เงินเข้าแล้ว / ไม่รับสาย คุณโอ๋ 0809435226 / เบอร์กลางไม่รับสาย 044-009759	AR2504-068	3	6801-01
iv_b9e5543f	IV2504-054	AW089-PL		2025-04-04	2152878.5	paid						15502024	ม.3 ต.เกษตรสุวรรณ อ.บ่อทอง จ.ชลบุรี (6707-03)	00794	องค์การบริหารส่วนตำบลเกษตรสุวรรณ	2025-04-04	STS	ภาคตะวันออก	5.โครงการที่รับเงินแล้วสะสม	2025-05-23	27.05.2025 เงินเข้าแล้ว / ไม่รับสาย ผอ.กองช่าง 088-2988741	AR2504-066	1	6707-03
iv_b626d4b1	IV2504-046	ENC052-PL		2025-04-10	2138596.42	paid						27902024	บ้านโคกลุงกราด ม.7 ต.แหลมทอง อ.หนองบุญมาก จ.นครราชสีมา (6801-01)	00826	เทศบาลตำบลแหลมทอง	2025-04-10	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-06-13	13.06.2025 เงินเข้าแล้ว / คุณแหม่ม 081-2824814	AR2504-048	1	6801-01
iv_f56c2b95	IV2504-045	ENC051-PL		2025-04-10	2138596.42	paid						27802024	บ้านหนองลูกควาย ม.5 ต.แหลมทอง อ.หนองบุญมาก จ.นครราชสีมา (6801-01)	00826	เทศบาลตำบลแหลมทอง	2025-04-10	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-06-13	13.06.2025 เงินเข้าแล้ว / คุณแหม่ม 081-2824814	AR2504-049	1	6801-01
iv_c362dc51	IV2504-044	ENC085-PL		2025-04-11	3240000	paid						32202024	บ้านภูมิขนุน ม.8 ต.ดม อ.สังขะ จ.สุรินทร์ (6714-01)	00836	ที่ทำการปกครองอำเภอสังขะ	2025-04-11	FUNDING	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-06-06	06.06.2025 เงินเข้าแล้ว / คุณแจ๊บ 0889810293	AR2504-046	2	6714-01
iv_4e39f192	IV2504-043	ENC084-PL		2025-04-11	3240000	paid						32302024	บ้านภูมิโปน ม.5 ต.ดม อ.สังขะ จ.สุรินทร์ (6714-01)	00836	ที่ทำการปกครองอำเภอสังขะ	2025-04-11	FUNDING	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-06-06	06.06.2025 เงินเข้าแล้ว / คุณแจ๊บ 0889810293	AR2504-047	2	6714-01
iv_dc4e3e11	IV2504-039	PP034-PM		2025-04-08	4489000	paid						23002024	บ้านลำสินธุ์เหนือ ม.3 ต.ลำสินธุ์ อ.ศรีนครินทร์ จ.พัทลุง (6707-03)	00813	เทศบาลตำบลลำสินธุ์	2025-04-08	KTB	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2025-05-15	15.05.2025 เงินเข้าแล้ว	AR2504-040	3	6707-03
iv_f0fc5458	IV2504-038	ENC083-PL		2025-04-09	3240000	paid						32402024	บ้านก้านเหลือง ม.4 ต.ระเวียง อ.โนนนารายณ์ จ.สุรินทร์ (6714-01)	00835	ที่ทำการปกครองอำเภอโนนนารายณ์	2025-04-09	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-05-07	07.05.2025 เงินเข้าแล้ว / คุณนุช 088-9814587	AR2504-008	2	6714-01
iv_a8778924	IV2504-037	TTI003-PL		2025-04-08	3120000	paid						4402024	บ้านคลอง 19 ม.9 ต.หมอนทอง อ.บางน้ำเปรี้ยว จ.ฉะเชิงเทรา (6701-01)	00740	องค์การบริหารส่วนตำบลหมอนทอง	2025-04-08	WTP	ภาคตะวันออก	5.โครงการที่รับเงินแล้วสะสม	2025-05-08	08.05.2025 เงินเข้าแล้ว / ผอ.คลัง 089-9842781	AR2504-009	2	6701-01
iv_a2c1394d	IV2504-036	ENC082-PDH		2025-04-08	1273000	paid						30802024	บ้านโนนเจดีย์พัฒนา ม.19 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-010	3	6801-01
iv_ee797866	IV2504-035	ENC081-PDH		2025-04-08	1273000	paid						30402024	บ้านคูเมืองใหม่ ม.18 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-011	3	6801-01
iv_7a106d76	IV2504-034	ENC080-PDH		2025-04-08	1273000	paid						30902024	บ้านทำนบพัฒนา ม.17 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-012	3	6801-01
iv_3cee5c77	IV2504-033	ENC079-PDH		2025-04-08	1273000	paid						30202024	บ้านโนนทองพัฒนา ม.16 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-013	3	6801-01
iv_7fd96ce8	IV2504-032	ENC078-PDH		2025-04-08	1273000	paid						32102024	บ้านสระตะเฆ่หิน ม.15 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-014	3	6801-01
iv_d5866e4e	IV2504-031	ENC077-PDH		2025-04-08	1273000	paid						31902024	บ้านสระขุด ม.14 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา  (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-015	3	6801-01
iv_d7a2f172	IV2504-030	ENC076-PDH		2025-04-08	1273000	paid						32002024	บ้านโกรกหอย ม.13 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-016	3	6801-01
iv_e92c7411	IV2504-029	ENC075-PDH		2025-04-08	1273000	paid						31002024	บ้านเมืองเก่า ม.12 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-017	3	6801-01
iv_f3af8d36	IV2504-028	ENC074-PDH		2025-04-08	1273000	paid						30502024	โรงเรียนบ้านบัลลังก์สะอาด ม.11 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-018	3	6801-01
iv_ffcd4c51	IV2504-027	ENC073-PDH		2025-04-08	1273000	paid						31102024	บ้านบัลลังก์ ม.11 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-019	3	6801-01
iv_f115842a	IV2504-026	ENC072-PDH		2025-04-08	1273000	paid						31202024	บ้านโพธิ์ตาสี ม.10 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-020	3	6801-01
iv_21df1581	IV2504-025	ENC071-PDH		2025-04-08	1273000	paid						31302024	บ้านหนองแจง ม.9 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-021	3	6801-01
iv_7b1c6ddd	IV2504-024	ENC070-PDH		2025-04-08	1273000	paid						30302024	บ้านสระตะเฆ่ ม.8 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-022	3	6801-01
iv_75f7f90c	IV2504-023	ENC069-PDH		2025-04-08	1273000	paid						31802024	บ้านดอนยาว ม.7 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-023	3	6801-01
iv_f8325d68	IV2504-022	ENC068-PDH		2025-04-08	1273000	paid						30702024	บ้านกระดาน ม.6 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-024	3	6801-01
iv_c2063901	IV2504-021	ENC067-PDH		2025-04-08	1273000	paid						30602024	บ้านน้อย ม.5 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-025	3	6801-01
iv_6e787ff8	IV2504-020	ENC066-PDH		2025-04-08	1273000	paid						31402024	บ้านกุดเวียน ม.4 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-026	3	6801-01
iv_a14e29bb	IV2504-019	ENC065-PDH		2025-04-08	1273000	paid						31502024	บ้านคูเมือง ม.3 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-027	3	6801-01
iv_e41cdabc	IV2504-018	ENC064-PDH		2025-04-08	1273000	paid						31602024	บ้านหนองแวง ม.2 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-028	3	6801-01
iv_cccee3bb	IV2504-017	ENC063-PDH		2025-04-08	1273000	paid						31702024	บ้านโนนเจดีย์ ม.1 ต.บัลลังก์ อ.โนนไทย จ.นครราชสีมา (6801-01)	00832	เทศบาลตำบลบัลลังก์	2025-04-08	LIT	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-04-28	28.04.2025 เงินเข้าแล้ว	AR2504-029	3	6801-01
iv_a47ecb2b	IV2504-016	PP046-PL		2025-04-04	2080000	paid						3602025	ม.4 ต.ท่างิ้ว อ.ห้วยยอด จ.ตรัง (6801-01)	00484	เทศบาลตำบลท่างิ้ว	2025-04-04	WTP	Pinpoint	5.โครงการที่รับเงินแล้วสะสม	2025-04-24	24.04.2025 เงินเข้าแล้ว	AR2504-030	1	6801-01
iv_69fbba5b	IV2504-015	ENC060-PL		2025-04-04	5400000	paid						29702024	บ้านนาทับควาย ม.8 ต.หนองบัวใต้  อ.ศรีบุญเรือง จ.หนองบัวลำภู (6707-03)	00079	องค์การบริหารส่วนตำบลหนองบัวใต้	2025-04-04	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-05-28	28.05.2025 เงินเข้าแล้ว / ผอ.คลัง 091-8689797	AR2504-031	3	6707-03
iv_626f95b9	IV2504-014	ENC059-PL		2025-04-04	5400000	paid						29902024	บ้านบุ่งแก้ว ม.5 ต.หนองบัวใต้ อ.ศรีบุญเรือง จ.หนองบัวลำภู (6707-03)	00079	องค์การบริหารส่วนตำบลหนองบัวใต้	2025-04-04	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-05-28	28.05.2025 เงินเข้าแล้ว / ผอ.คลัง 091-8689797	AR2504-032	3	6707-03
iv_01f17b7f	IV2504-013	ENC058-PL		2025-04-04	5400000	paid						30002024	บ้านหนองบัวใต้ ม.1 ต.หนองบัวใต้ อ.ศรีบุญเรือง จ.หนองบัวลำภู (6707-03)	00079	องค์การบริหารส่วนตำบลหนองบัวใต้	2025-04-04	KTB	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-05-28	28.05.2025 เงินเข้าแล้ว / ผอ.คลัง 091-8689797	AR2504-033	3	6707-03
iv_a81ef861	IV2504-012	ENC084-PL		2025-04-03	2160000	paid						32302024	บ้านภูมิโปน ม.5 ต.ดม อ.สังขะ จ.สุรินทร์ (6714-01)	00836	ที่ทำการปกครองอำเภอสังขะ	2025-04-03	FUNDING	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-06-06	06.06.2025 เงินเข้าแล้ว / คุณแจ๊บ 0889810293	AR2504-034	1	6714-01
iv_3a2f3f6b	IV2504-011	ENC085-PL		2025-04-03	2160000	paid						32202024	บ้านภูมิขนุน ม.8 ต.ดม อ.สังขะ จ.สุรินทร์ (6714-01)	00836	ที่ทำการปกครองอำเภอสังขะ	2025-04-03	FUNDING	EN connect	5.โครงการที่รับเงินแล้วสะสม	2025-06-06	06.06.2025 เงินเข้าแล้ว / คุณแจ๊บ 0889810293	AR2504-035	1	6714-01
iv_e6701b17	IV2504-010	AW127-PL		2025-04-18	2142196.24	paid						24502024	บ้านไร่น้อย ม.8 ต.น้ำอ่าง อ.ตรอน จ.อุตรดิตถ์ (6801-01)	00467	องค์การบริหารส่วนตำบลน้ำอ่าง	2025-04-18	KTB	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-05-19	19.05.2025 เงินเข้าแล้ว / คุณเอก 093-9619428	AR2504-091	1	6801-01
iv_34950221	IV2504-009	AW126-PL		2025-04-01	2142196.24	paid						24702024	บ้านเขาพระเอก ม.8 ต.ทุ่งหลวง อ.ปากท่อ จ.ราชบุรี  (6801-01)	00709	เทศบาลตำบลทุ่งหลวง	2025-04-01	KTB	STR	5.โครงการที่รับเงินแล้วสะสม	2025-04-22	22.04.2025 เงินเข้าแล้ว / 080-4422441	AR2504-037	1	6801-01
iv_ca675f53	IV2504-008	INS021-PL		2025-04-01	1620000	paid						29402024	บ้านหก ม.4 ต.บุญเรือง อ.เชียงของ จ.เชียงราย (6801-01)	00733	เทศบาลตำบลบุญเรือง	2025-04-01	KTB	Innovatech	5.โครงการที่รับเงินแล้วสะสม	2025-04-29	29.04.2025 เงินเข้าแล้ว / 0850380224 คุณลิ้นจี่	AR2504-038	1	6801-01
